question,answer
"A key account's contract renews in 60 days and they've been unresponsive. What's the CRM playbook?","Immediately escalate the account to the assigned CSM and their manager. In the CRM, create a renewal opportunity with a 60-day close date and set a task sequence: Day 1 — send a personalized email from the CSM referencing recent value delivered (metrics, ROI). Day 3 — have the account executive call the primary contact and a secondary stakeholder. Day 7 — if no response, engage your executive sponsor for a peer-to-peer outreach to their VP or C-level. Day 14 — send a formal renewal proposal with any loyalty incentives. Day 30 — if still unresponsive, flag as 'At Risk' and prepare a save offer (discount, extended terms, or additional services at no cost). Log every touchpoint in the CRM and update the health score daily. Prepare a contingency revenue forecast assuming the account churns."
"We want to upsell existing customers. How should we use CRM data to identify opportunities?","Build an upsell propensity model using CRM and product data. Key signals: customers who have used 80%+ of their current plan's capacity, accounts that have added new users in the last 90 days, customers with high NPS scores (9-10), and accounts approaching contract anniversary. Create a CRM report that surfaces these accounts weekly and auto-assigns them to the account management team with a suggested upsell play (e.g., upgrade to next tier, add a new module, expand to a new department). Equip reps with a talk track that ties the upsell to the customer's stated goals from their last QBR. Track upsell pipeline separately from new business so you can measure expansion revenue independently."
"Our CRM data quality is terrible — duplicate records, missing fields, outdated info. How do we clean it up?","Run a phased cleanup. Phase 1 (Week 1-2): Deduplicate. Use your CRM's built-in merge tool or a third-party dedup app to identify and merge duplicate contacts and companies. Prioritize by matching on email domain + name. Phase 2 (Week 3-4): Enrich. Use a data enrichment provider to fill in missing fields like company size, industry, phone, and job title. Phase 3 (Week 5-6): Standardize. Create picklist values for key fields (Industry, Lead Source, Country) and bulk-update free-text entries to match. Phase 4 (Ongoing): Prevent decay. Add validation rules that require critical fields at lead creation, set up automated workflows that flag records with missing data after 30 days, and schedule a quarterly data audit. Assign a CRM admin as the data steward responsible for ongoing quality."
"How can we reduce our average sales cycle from 45 days to 30 days using CRM workflows?","Analyze where deals spend the most time by running a stage duration report. Common bottlenecks are between Proposal Sent and Negotiation. For that stage, create an automated follow-up sequence: if a deal sits for 5 days without activity, trigger a task for the rep and send a templated check-in email. Implement mutual action plans as a CRM custom object — when a deal enters Negotiation, auto-generate a shared timeline with the buyer that includes key milestones (legal review, procurement sign-off, go-live date). Use parallel processing: while legal reviews the contract, have the CSM begin onboarding planning. Add a 'Next Step' required field on every deal so reps always have a concrete action. Finally, empower reps with pre-approved discount bands so they don't have to wait for manager approval on standard deals."
"We're expanding into a new market segment. How should we configure our CRM to support this?","Create a new segment tag or picklist value (e.g., 'Healthcare' if that's the new vertical). Build a dedicated pipeline view filtered to this segment so the team can track it separately. Customize lead scoring to reflect the new ICP — the attributes that matter in healthcare may differ from your current market (e.g., compliance requirements, procurement cycles). Create segment-specific email templates, call scripts, and proposal templates stored in the CRM's content library. Set up a separate dashboard that tracks new-segment KPIs: leads generated, pipeline created, win rate, and average deal size vs. your core segment. Assign a segment owner who reviews this dashboard weekly. If the sales motion differs (e.g., longer cycle, more stakeholders), adjust your deal stages or add a parallel pipeline with stages tailored to that buying process."
"How should we handle inbound leads that come in after business hours?","Configure your CRM to auto-assign inbound leads with a round-robin rule that respects time zones and rep availability. Set up an instant auto-reply email that acknowledges receipt, sets expectations for response time (e.g., 'We'll reach out within 4 business hours'), and includes a self-service calendar link so the lead can book a meeting immediately. Create a priority queue: if the lead's score exceeds a threshold (e.g., enterprise domain, pricing page visit), send an SMS or Slack alert to the on-call rep for immediate follow-up. For lower-priority leads, the round-robin assignment triggers a task for the next business day. Track speed-to-lead as a KPI — measure the time from form submission to first human response and aim for under 5 minutes during business hours."
"Our forecast accuracy is below 60%. How can we use the CRM to improve it?","Enforce structured forecasting in the CRM. First, require reps to assign a forecast category to every deal: Pipeline, Best Case, Commit, or Closed. Define clear criteria for each category — 'Commit' means verbal agreement, decision-maker confirmed, and expected close within the period. Second, implement a weighted pipeline model where each stage has a historical conversion probability; use this as a sanity check against rep-submitted forecasts. Third, add a 'Forecast Notes' field that reps must update weekly with the latest buyer signal. Fourth, run a weekly forecast review meeting using a CRM report that highlights deals that changed category, slipped close dates, or have no recent activity. Track forecast accuracy by rep over time and coach those consistently over- or under-forecasting. Aim for 80%+ accuracy within two quarters."
"What's the best way to track and attribute revenue to marketing campaigns in our CRM?","Implement multi-touch attribution. At minimum, capture 'First Touch' (the campaign that created the lead) and 'Last Touch' (the campaign that converted the lead to an opportunity). Store these as fields on the Contact and Opportunity objects. For more granularity, use your CRM's campaign influence feature to associate every campaign touchpoint with the opportunity and assign weighted credit (e.g., 40% first touch, 40% last touch, 20% split across middle touches). Build a report that shows revenue by campaign, cost per opportunity, and ROI for each campaign. Ensure UTM parameters from your website flow into the CRM via form submissions. Reconcile CRM attribution data with your marketing automation platform monthly to catch any sync gaps. This closed-loop reporting lets marketing double down on high-ROI channels."
"How do we set up territory management in our CRM for a growing sales team?","Define territories by a combination of geography, company size, and industry vertical — not just zip code. In the CRM, create territory records with rules: e.g., 'West Coast Enterprise Tech' routes to Rep A, 'East Coast Mid-Market Healthcare' routes to Rep B. Use automated lead assignment rules that evaluate these criteria at lead creation and route accordingly. Build a territory balance report that shows pipeline value, account count, and quota per territory to ensure equitable distribution. When adding new reps, carve territories by splitting the highest-loaded ones rather than reassigning randomly. Set up a territory change log so you can track reassignments and their impact on pipeline. Review territory alignment quarterly using CRM data on win rates and cycle times by territory."
"We want to implement a customer referral program tracked in our CRM. How should we set it up?","Create a custom object or use a dedicated lead source value called 'Customer Referral.' When a customer submits a referral, auto-create a lead in the CRM with fields for Referring Customer, Referral Date, and Referral Status (Submitted, Contacted, Qualified, Won, Lost). Link the referral lead back to the referring customer's account record so you can track how many referrals each customer generates. Set up an automated workflow: when a referral is submitted, notify the assigned rep within 1 hour and send a thank-you email to the referring customer. When the referral converts to a closed-won deal, trigger a reward fulfillment task (e.g., gift card, account credit, or donation to charity of choice). Build a referral dashboard showing referrals by source customer, conversion rate, revenue generated, and average time to close. Referral leads typically convert at 3-5x the rate of cold leads, so prioritize them in your routing rules."
